model,seed,task,trial,bpm,n_episodes,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,ckpt,file
A,1,double_160bpm,0,160.0,3,72,0.4027777777777778,27.358925567482952,15.849228175181196,33.090373438952355,12.349863330523172,0.2638888888888889,1.0,model_1499,eval_logs/2026-07-07_19-17-38_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
A,1,gmd_03_high_bpm138,0,138.0,1,45,0.06666666666666667,62.00082302093506,52.00059413909912,74.88423008034802,1.7356334898206922,0.8888888888888888,1.0,model_1499,eval_logs/2026-07-07_19-17-38_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
A,1,gmd_04_extreme_bpm170,0,170.0,1,44,0.11363636363636363,38.75088691711404,35.000801086426,51.27076902484814,3.3885580843145195,0.8181818181818182,1.0,model_1499,eval_logs/2026-07-07_19-17-38_seed1/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
A,2,double_160bpm,0,160.0,3,72,0.9305555555555556,11.338244021778372,-3.8733314460431867,14.172588165643946,44.58405705955293,0.013888888888888888,1.0,model_1499,eval_logs/2026-07-08_00-06-00_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
A,2,gmd_03_high_bpm138,0,138.0,1,45,0.6,13.166944185892655,1.5000422795613275,16.772153510070186,17.172857917679682,0.3333333333333333,1.0,model_1499,eval_logs/2026-07-08_00-06-00_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
A,2,gmd_04_extreme_bpm170,0,170.0,1,44,0.6590909090909091,9.833558400471976,2.833398183186879,12.225418787470447,10.028164874423634,0.3181818181818182,1.0,model_1499,eval_logs/2026-07-08_00-06-00_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
A,3,double_160bpm,0,160.0,3,72,0.8333333333333334,13.615663235004103,-0.8461512052096128,18.447311305259348,28.23541698853175,0.09722222222222222,1.0,model_1499,eval_logs/2026-07-08_05-00-58_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
A,3,gmd_03_high_bpm138,0,138.0,1,45,0.4888888888888889,14.23107660733745,-6.9232170398413775,17.03427807825022,11.34734579457177,0.4222222222222222,1.0,model_1499,eval_logs/2026-07-08_05-00-58_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
A,3,gmd_04_extreme_bpm170,0,170.0,1,44,0.36363636363636365,12.059092521667324,-9.706097490647103,12.051029255125815,3.5952726277438076,0.6136363636363636,1.0,model_1499,eval_logs/2026-07-08_05-00-58_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
A,4,double_160bpm,0,160.0,3,72,0.4583333333333333,17.045779661698806,-13.863959095694822,18.00747895664164,8.068467766046524,0.3888888888888889,1.0,model_1499,eval_logs/2026-07-08_09-54-22_seed4/model_1499/double_160bpm_trial0/simulation_log.csv
A,4,gmd_03_high_bpm138,0,138.0,1,45,0.6888888888888889,15.88268490398626,-1.7647497794206881,23.801536521193253,337.5658424536387,0.24444444444444444,1.0,model_1499,eval_logs/2026-07-08_09-54-22_seed4/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
A,4,gmd_04_extreme_bpm170,0,170.0,1,44,0.5909090909090909,16.48185871265564,0.9259471186887596,27.94416218620549,1547.8950393091548,0.38636363636363635,1.0,model_1499,eval_logs/2026-07-08_09-54-22_seed4/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
A,5,double_160bpm,0,160.0,3,72,0.8055555555555556,11.42879894801542,-4.127059664045107,16.957119455790146,13.210618500908216,0.125,1.0,model_1499,eval_logs/2026-07-08_14-47-17_seed5/model_1499/double_160bpm_trial0/simulation_log.csv
A,5,gmd_03_high_bpm138,0,138.0,1,45,0.4222222222222222,13.333621479215976,0.9523857207526454,17.001774859160115,310.03134042421976,0.5333333333333333,1.0,model_1499,eval_logs/2026-07-08_14-47-17_seed5/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
A,5,gmd_04_extreme_bpm170,0,170.0,1,44,0.1590909090909091,14.375314116477966,9.375199675559998,27.443753838312205,3.129032785242254,0.8181818181818182,1.0,model_1499,eval_logs/2026-07-08_14-47-17_seed5/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
B,1,double_160bpm,0,160.0,3,72,0.875,14.927843342656612,3.1884753185769594,21.29965036121515,18.54950926038954,0.041666666666666664,1.0,model_1499,eval_logs/2026-07-08_19-38-34_seed1/model_1499/double_160bpm_trial0/simulation_log.csv
B,1,gmd_03_high_bpm138,0,138.0,1,45,0.9111111111111111,13.182103633880757,-5.909226157448649,15.784972328811378,627.2555113686456,0.022222222222222223,1.0,model_1499,eval_logs/2026-07-08_19-38-34_seed1/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
