tau,lh,seed,task,bpm,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,file
0.5,0.5,2,double_160bpm,160.0,72,0.875,12.847468256950386,-4.930663439962599,15.933551252055274,221.7376985318131,0.0,1.0,eval_logs_tau_sweep/2026-07-16_21-45-48_tau0.5_lh0.5_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.5,2,gmd_03_high_bpm138,138.0,45,0.8666666666666667,12.727531519803195,-4.3182698163118625,16.160514188955005,50.32806943787469,0.022222222222222223,1.0,eval_logs_tau_sweep/2026-07-16_21-45-48_tau0.5_lh0.5_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
0.5,0.5,2,gmd_04_extreme_bpm170,170.0,44,0.9318181818181818,7.500171661376891,1.7857551574707877,13.829475739533311,19.26167789372531,0.045454545454545456,1.0,eval_logs_tau_sweep/2026-07-16_21-45-48_tau0.5_lh0.5_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,0.25,2,double_160bpm,160.0,72,0.9027777777777778,10.000210669305574,1.2500137090683014,13.551196211774108,130.61952079666986,0.0,1.0,eval_logs_tau_sweep/2026-07-17_02-35-27_tau1.0_lh0.25_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,0.25,2,gmd_03_high_bpm138,138.0,45,0.7111111111111111,9.861330191294352,-4.583431614769681,13.32991745380241,360.500611225764,0.2,1.0,eval_logs_tau_sweep/2026-07-17_02-35-27_tau1.0_lh0.25_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
1.0,0.25,2,gmd_04_extreme_bpm170,170.0,44,0.5909090909090909,12.758900379312571,0.3448231466884046,16.52583613314819,59.614928765730426,0.3409090909090909,1.0,eval_logs_tau_sweep/2026-07-17_02-35-27_tau1.0_lh0.25_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,0.5,2,double_160bpm,160.0,72,0.6666666666666666,18.500350202832955,-13.357388973236109,18.33148678224183,17.54229560991128,0.027777777777777776,1.0,eval_logs_tau_sweep/2026-07-17_07-23-57_tau1.0_lh0.5_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,0.5,2,gmd_03_high_bpm138,138.0,45,0.8666666666666667,13.256084087283133,-9.767632151758969,15.038104588928178,1076.4696561919318,0.044444444444444446,1.0,eval_logs_tau_sweep/2026-07-17_07-23-57_tau1.0_lh0.5_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
1.0,0.5,2,gmd_04_extreme_bpm170,170.0,44,0.75,15.658243706351865,-9.079145757775615,21.806002313309378,182.17969180779025,0.13636363636363635,1.0,eval_logs_tau_sweep/2026-07-17_07-23-57_tau1.0_lh0.5_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,1.0,2,double_160bpm,160.0,72,0.75,20.43519849362578,-14.92786407470705,31.148963358842554,19.987516032324898,0.041666666666666664,1.0,eval_logs_tau_sweep/2026-07-17_12-14-31_tau1.0_lh1.0_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,1.0,2,gmd_03_high_bpm138,138.0,45,0.6444444444444445,15.4057096790624,-12.162398647617554,16.225304439761963,330.85233594576516,0.17777777777777778,1.0,eval_logs_tau_sweep/2026-07-17_12-14-31_tau1.0_lh1.0_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
