strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,tau,lh,seed,task,bpm,source
20,8.970157623291016,8.96015739440918,-10.000228881835938,20.683900833129883,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
21,9.23016357421875,9.240163803100586,10.000228881835938,11.93893337249756,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
22,9.490169525146484,9.45516872406006,-35.000801086424005,6.732466697692871,False,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
23,9.690174102783203,9.70017433166504,10.000228881837714,11.747958183288574,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
24,10.230186462402344,10.235186576843262,5.000114440917969,13.681707382202148,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
25,10.570194244384766,,,0.0,False,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
26,10.8302001953125,10.835200309753418,5.000114440917969,11.427445411682127,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
27,10.93020248413086,10.885201454162598,-45.00102996826172,20.64959716796875,False,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
28,11.390213012695312,11.390213012695312,0.0,11.450817108154297,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
29,11.850223541259766,11.850223541259766,0.0,20.79648208618164,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
30,12.090229034423828,12.095229148864746,5.000114440917969,12.778852462768556,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
31,12.350234985351562,12.350234985351562,0.0,13.908466339111328,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
32,12.55023956298828,12.53023910522461,-20.0004577636701,7.481353759765625,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
33,12.65024185180664,12.610240936279297,-40.00091552734375,20.3776969909668,False,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
34,13.07025146484375,13.075251579284668,5.000114440917969,14.03728485107422,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
35,13.3902587890625,13.370258331298828,-20.000457763671875,7.121439933776856,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
36,13.670265197753906,13.675265312194824,5.000114440917969,5.616096496582031,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
37,13.770267486572266,13.645264625549316,-125.00286102294922,7.25590181350708,False,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
38,14.210277557373049,14.215277671813965,5.000114440916192,15.457157135009766,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
39,14.630287170410156,14.62028694152832,-10.000228881835938,24.03325080871582,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
40,14.89029312133789,14.895293235778809,5.000114440917969,13.452527046203612,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
41,15.150299072265623,15.150299072265623,0.0,15.191954612731934,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
42,15.350303649902344,15.370304107666016,20.000457763671875,17.787614822387695,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
43,15.85031509399414,15.85531520843506,5.000114440919745,14.83057975769043,True,1.0,0.25,3,gmd_04_extreme_bpm170,170.0,sim_tau
0,1.509998798370361,1.5149987936019895,4.999995231628418,9.091291427612305,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
1,1.6099987030029297,1.6049987077713013,-4.999995231628418,1.8019812107086184,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
2,1.889998435974121,1.9099984169006348,19.999980926513672,16.883134841918945,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
3,1.969998359680176,1.9799983501434328,9.999990463256836,6.371336936950684,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
4,2.2500040531158447,2.2500040531158447,0.0,9.902022361755373,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
5,2.350006341934204,2.375006914138794,25.000572204589844,9.715302467346191,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
6,2.6300127506256104,2.5900118350982666,-40.00091552734375,19.18442916870117,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
7,2.7300150394439697,2.725014925003052,-5.000114440917525,20.544189453125,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
8,3.010021448135376,2.970020532608032,-40.00091552734419,19.230348587036133,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
9,3.110023736953736,3.095023393630981,-15.000343322754794,7.044183731079102,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
10,3.3900301456451416,3.400030374526977,10.000228881835493,18.085914611816406,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
11,3.470031976699829,3.485032320022583,15.000343322753906,13.28864860534668,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
12,3.7700388431549072,3.7600386142730713,-10.000228881835938,11.820067405700684,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
13,3.8500406742095943,3.835040330886841,-15.000343322753462,13.19716453552246,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
14,4.130046844482422,4.090045928955078,-40.00091552734375,18.97344207763672,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
15,4.230049133300781,4.235049247741699,5.000114440917969,6.8267011642456055,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
16,4.510055541992188,4.5150556564331055,5.000114440917081,9.931791305541992,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
17,4.610057830810547,4.605057716369629,-5.000114440917969,2.3112218379974365,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
18,4.890064239501953,4.890064239501953,0.0,9.959922790527344,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
19,4.970066070556641,4.950065612792969,-20.000457763671875,14.024868965148926,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
20,5.250072479248047,5.245072364807129,-5.000114440917969,9.836662292480469,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
21,5.350074768066406,5.355074882507324,5.000114440917969,6.938089370727539,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
22,5.6300811767578125,5.6350812911987305,5.000114440917969,11.17733097076416,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
23,5.730083465576172,5.740083694458008,10.000228881835938,29.39493179321289,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
24,1.509998798370361,1.4999988079071045,-9.999990463256614,14.148138999938965,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
25,1.6099987030029297,1.6199986934661863,9.999990463256614,2.385350465774536,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
26,1.889998435974121,1.919998407363892,29.999971389770952,16.742938995361328,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
27,1.969998359680176,1.9549983739852903,-14.999985694885698,11.999839782714844,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
28,2.2500040531158447,2.210003137588501,-40.00091552734375,18.901439666748047,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
29,2.350006341934204,2.3150055408477783,-35.00080108642578,17.58302116394043,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
30,2.6300127506256104,2.5900118350982666,-40.00091552734375,19.19162368774414,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
31,2.7300150394439697,2.725014925003052,-5.000114440917525,20.48583221435547,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
32,3.010021448135376,2.970020532608032,-40.00091552734419,19.23190689086914,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
33,3.110023736953736,3.095023393630981,-15.000343322754794,7.049549102783203,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
34,3.3900301456451416,3.400030374526977,10.000228881835493,18.143983840942383,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
35,3.470031976699829,3.485032320022583,15.000343322753906,13.306293487548828,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
36,3.7700388431549072,3.7600386142730713,-10.000228881835938,11.974961280822754,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
37,3.8500406742095943,3.835040330886841,-15.000343322753462,14.167450904846191,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
38,4.130046844482422,4.090045928955078,-40.00091552734375,19.36973571777344,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
39,4.230049133300781,4.235049247741699,5.000114440917969,11.798819541931152,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
40,4.510055541992188,4.470054626464844,-40.00091552734464,19.211894989013672,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
41,4.610057830810547,4.595057487487793,-15.000343322753906,7.047444343566895,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
